1990,-;;;;;;;;;
1995,-;;;;;;;;;
2000,1111505;;;;;;;;;
2001,1125767;;;;;;;;;
2002,1136239;;;;;;;;;
2003,1147005;;;;;;;;;
2004,1162369;;;;;;;;;
2005,1175039;;;;;;;;;
2006,1205397;;;;;;;;;
2007,1250729;;;;;;;;;
2008,1309850;;;;;;;;;
2009,1348971;;;;;;;;;
2010,1373763;;;;;;;;;
2011,1408439;;;;;;;;;
2012,1457287;;;;;;;;;
2013,1488785;;;;;;;;;
2014,1484516;;;;;;;;;
2015,1506724;;;;;;;;;
2016,1531426;;;;;;;;;
2017,1535303;;;;;;;;;
2018,1540816;;;;;;;;;
